Cert Number,Card Ladder Value
123112030,24.99
121903304,24.56
124350706,30.90
124344120,34.25
122658194,32.24
122911672,32.40
117626595,70.57
59135350,34.33
127588629,64.80
124554036,34.33
119161531,77.60
126408552,145.28
50587505,31.97
126930016,15.71
125799238,35.05
43361509,114.44
59348242,34.09
57979144,13.50
56058052,15.92
59410135,20.93
53150861,15.92
121427876,24.11
124517796,34.08
60884367,30.26
118165866,30.64
122083937,33.35
128075188,30.64
93775311,25.54
77874538,30.64
125807183,13.99
78048288,61.28
126759450,39.25
74813020,34.77
93426652,30.64
47032647,30.64
125637661,66.70
127674744,30.64
102149117,33.35
114792415,27.03
100930200,30.64
124929892,73.41
126952766,39.25
118674091,30.64
55943502,61.28
71395528,15.92
97881490,33.35
119468773,30.64
113394935,30.64
123632745,30.64
125815323,30.64
121636758,42.82
124059190,29.89
93282288,42.82
113394917,122.55
54826213,133.40
94362791,293.64
86288179,122.55
46352132,48.05
122040789,122.55
62380891,171.94
124749939,39.25
25574618,61.28
126318957,38.04
100529520,30.64
126507258,33.35
95636015,34.77
96571698,33.35
127200983,68.26
73203721,30.64
89462757,30.64
131678712,31.64
124237874,23.42
66375934,30.64
98120156,29.89
132288924,34.01
53117372,7.81
128137965,34.01
100748399,23.76
124993904,32.97
113169952,32.97
59451919,32.97
121586765,59.78
62661779,27.10
75698767,24.52
124630714,29.89
125585260,32.97
126463630,46.71
94016030,23.73
91218960,294.35
112451192,119.56
66214084,124.53
93878608,131.88
125013513,55.75
118928237,119.56
89161882,109.52
127816203,68.02
128644928,68.02
129511628,59.78
128706154,54.76
90944200,32.97
98369673,32.97
50295383,29.89
108436101,30.52
96331327,73.59
62962090,42.10
112301667,29.89
107533169,65.94
101591368,32.97
58655647,32.97
96026913,158.37
28833982,119.56
126707304,96.81
128108141,63.49
96485609,52.29
128141398,29.89
93428085,32.97
97140662,29.89
125999848,30.52
95163538,59.78
110017834,16.63
125648496,29.89
66945142,25.16
54468164,30.52
110306098,32.97
126729163,20.86
131937371,68.02
51260915,36.81
126607747,58.45
123154330,68.86
102088324,63.49
82398856,59.78
127092324,59.78
128861682,61.04
52367408,71.13
128202102,62.92
50987106,33.40
06172129,28.68
129502595,32.97
124256948,29.89
110239710,33.76
127371357,32.97
119754867,59.78
112052722,29.89
46649530,10.63
94930368,119.56
115474017,41.73
97359082,147.18
129783159,54.91
128624661,32.97
126874004,29.89
124287650,66.52
66362345,68.02
129597683,59.78
122264475,54.76
118372801,21.40
123062594,136.04
125211948,83.46
101937544,79.71
55911293,131.88
122521043,131.88
49752107,131.88
118470830,139.70
65258646,116.14
124715388,119.56
127542975,119.56
127736003,61.04
97321784,29.30
124504032,65.94
124803977,131.88
114647896,65.94
128878443,165.09
125801731,59.78
124030084,114.18
128758730,83.46
116537575,96.56
62993881,119.56
104042229,294.35
115424148,119.56
122348879,83.46
80000134,136.04
51349985,26.69
109583112,59.78
113435368,29.89
121661874,29.89
121495506,131.88
24547648,119.56
124698134,65.94
80073524,62.00
